name,label,F,pvalue,t,dof,tail,pvalue,CI95%,cohen-d
Average speed,Equal variances assumed,1.3035440510968856,0.2543342410086221,27.272178261645372,356,two-sided,3.284806713194695e-89,[0.33 0.38],2.8827588181709887
Average speed,Equal variances not assumed,,,27.272178261645372,352.31926331813844,two-sided,7.601639825588789e-89,[0.33 0.38],2.8827588181709887
Average of maximum speed,Equal variances assumed,0.0048073944042625084,0.9447615960175162,27.039785922701483,356,two-sided,2.570604189790337e-88,[0.3  0.35],2.8581941846481853
Average of maximum speed,Equal variances not assumed,,,27.039785922701483,355.9704615327675,two-sided,2.5875832972772754e-88,[0.3  0.35],2.8581941846481853
Average ratio of speeding points,Equal variances assumed,148.58483481654267,8.401239064843563e-29,27.15440306061663,356,two-sided,9.311246265271488e-89,[0.32 0.37],2.870309592587679
Average ratio of speeding points,Equal variances not assumed,,,27.15440306061663,239.11435319332273,two-sided,5.205617815530023e-75,[0.32 0.37],2.870309592587679
Average number of speeding points,Equal variances assumed,180.12047671184774,1.6210163867725698e-33,25.628242489934287,356,two-sided,7.828198099681759e-83,[0.31 0.36],2.7089894075672265
Average number of speeding points,Equal variances not assumed,,,25.62824248993429,232.77961399883566,two-sided,1.0376456777306673e-69,[0.31 0.36],2.7089894075672265
Intersection's average ratio of speeding points,Equal variances assumed,1.5550469949320163,0.21321169601015333,18.70524066195802,356,two-sided,7.251564394086183e-55,[0.24 0.3 ],1.977205375637523
Intersection's average ratio of speeding points,Equal variances not assumed,,,18.70524066195802,349.8738191885126,two-sided,1.3073049999207815e-54,[0.24 0.3 ],1.977205375637523
Intersection's average speed,Equal variances assumed,3.606409602601299,0.05836545713781825,20.55946419119838,356,two-sided,1.7890021260915566e-62,[0.27 0.33],2.173202892905705
Intersection's average speed,Equal variances not assumed,,,20.55946419119838,347.3490094118976,two-sided,5.16344971192339e-62,[0.27 0.33],2.173202892905705
Time-of-day entropy,Equal variances assumed,9.8311471038857,0.0018585230256222647,9.054792841129785,356,two-sided,9.167419265355074e-18,[0.13 0.2 ],0.9571213439224422
Time-of-day entropy,Equal variances not assumed,,,9.054792841129785,341.1817125918245,two-sided,1.074003635681576e-17,[0.13 0.2 ],0.9571213439224422
Date-time entropy,Equal variances assumed,11.04363753060768,0.0009823295483556707,8.90182674020139,356,two-sided,2.8472946340904094e-17,[0.11 0.17],0.9409523246346531
Date-time entropy,Equal variances not assumed,,,8.90182674020139,342.34293533802406,two-sided,3.2659985994827884e-17,[0.11 0.17],0.9409523246346531
